Nodes,Edges,Deg Max,Deg Mean,Deg STD,Clustering,Size,Time,Algorithm
1000,28000,74,56.0,5.1755192976164235,0.05531776496735068,38,0.16218876838684082,G&K-2
1000,39000,86,78.0,2.6374229846575616,0.5501301113843572,25,0.27689695358276367,G&K-2
1000,39000,90,78.0,4.052900196155834,0.3408753618218408,27,0.17574167251586914,G&K-2
1000,39000,99,78.0,5.439301425734742,0.14692878348802788,30,0.20329713821411133,G&K-2
1000,39000,102,78.0,6.2425956140054435,0.08417466895708822,31,0.2302720546722412,G&K-2
1000,39000,95,78.0,5.981805747431121,0.07735104270825648,31,0.22551226615905762,G&K-2
1000,60000,130,120.0,3.279939023823461,0.558453520597757,16,0.19897985458374023,G&K-2
1000,60000,136,120.0,4.948939280290273,0.3542863207181523,19,0.27188682556152344,G&K-2
1000,60000,141,120.0,6.58923364284497,0.17779759154019273,21,0.2841160297393799,G&K-2
1000,60000,144,120.0,7.202916076145827,0.12358076114541777,22,0.295182466506958,G&K-2
1000,60000,143,120.0,7.367224714911308,0.11954227964436488,22,0.4499807357788086,G&K-2
10000,790000,172,158.0,3.8621237680840834,0.5458272547377635,132,6.98899507522583,G&K-2
10000,790000,179,158.0,5.920675637121156,0.31937205106883976,151,6.306048154830933,G&K-2
10000,790000,189,158.0,7.572014263061051,0.10387315385890765,169,10.990497350692749,G&K-2
10000,790000,195,158.0,8.603964202621952,0.026129471965542307,179,10.777906656265259,G&K-2
10000,790000,190,158.0,8.752188297791587,0.016259608044155993,177,9.5446138381958,G&K-2
10000,1090000,238,218.0,4.550252740233228,0.5462289834491982,100,7.43438458442688,G&K-2
10000,1090000,249,218.0,6.873572579088694,0.3228654928309734,115,8.35843300819397,G&K-2
10000,1090000,253,218.0,9.060938141274335,0.10789322381509094,132,11.166017770767212,G&K-2
10000,1090000,257,218.0,10.02832987092068,0.03169035341102787,137,12.608862161636353,G&K-2
10000,1090000,256,218.0,10.408563781809669,0.022233746764744124,137,11.998084306716919,G&K-2
10000,1650000,351,330.0,5.604016416821064,0.5491427695594174,70,13.45378851890564,G&K-2
10000,1650000,361,330.0,8.456169345513368,0.3256064110749904,80,14.789302110671997,G&K-2
10000,1650000,378,330.0,11.197848007541449,0.11572426812886935,94,18.15873408317566,G&K-2
10000,1650000,377,330.0,12.420289851690258,0.04220778612307966,99,19.846176147460938,G&K-2
10000,1650000,377,330.0,12.795553915325433,0.033367754668733686,99,19.733728408813477,G&K-2
10000,2970000,626,594.0,7.428351095633539,0.5518287254233601,42,22.349219799041748,G&K-2
10000,2970000,641,594.0,11.267936812034401,0.335078869436857,49,25.59867024421692,G&K-2
10000,2970000,663,594.0,14.680592631089523,0.13460146751616353,58,27.75491189956665,G&K-2
10000,2970000,665,594.0,16.423866779781186,0.06705383738009048,61,31.530550718307495,G&K-2
10000,2970000,661,594.0,17.006322353760087,0.05958584584682966,62,29.766770124435425,G&K-2
